id,file,source_keif_v2,src_w,src_h,out_w,out_h,crop,stamp,corner,corner_pct_of_width,webp_q,psnr_db,kb
140,keif-aldiafa-team-qahwajiin-black-daglah-serving-guests-hotel-corridor.webp,weddings/saudi-wedding-men-section-male-host-dallah-traditional.webp,1280,854,1280,854,,corner,br,6.6,79,42.2,50
141,keif-aldiafa-team-server-holding-dallah-and-dates.webp,weddings/saudi-wedding-male-host-dallah-dates-qahwa-station.webp,960,1280,960,1280,,corner,tl,9.4,86,42.0,94
142,keif-aldiafa-team-server-pouring-dallah-at-exhibition-booth.webp,events/gala-dinner-vip-reception-royal-protocol-marble-luxury.webp,960,1280,960,1280,,corner,tl,9.4,88,42.1,145
143,keif-aldiafa-team-server-presenting-gold-tray-to-seated-men.webp,weddings/arab-wedding-male-host-qahwa-station-vip-wedding.webp,960,1280,960,1280,,corner,tl,9.4,88,42.1,148
144,keif-aldiafa-team-server-serving-tray-in-indoor-gathering.webp,weddings/saudi-wedding-male-host-coffee-vip-wedding-hall.webp,960,1280,960,1280,,corner,tr,9.4,89,42.4,147
145,keif-aldiafa-team-servers-holding-dallah-in-banquet-hall.webp,weddings/saudi-wedding-men-section-male-host-dallah-traditional.webp,1280,854,1280,854,,corner,br,6.6,79,42.2,50
146,keif-aldiafa-team-ten-qahwajiin-black-embroidered-daglah-banquet-hall.webp,weddings/riyadh-wedding-vip-wedding-hall-male-host.webp,1280,960,1280,960,,corner,tl,7.0,88,42.6,188
147,keif-aldiafa-team-three-hospitality-staff-standing-banqueting-room.webp,services/male/safarjia/safarjia-2.webp,1280,637,1132,637,2.01→1.78,corner,bl,6.1,88,42.4,71
148,keif-aldiafa-team-three-masked-servers-with-gold-sign.webp,services/safarjia/safarji-2.webp,572,795,572,795,,corner,bl,9.6,91,42.2,59
149,keif-aldiafa-team-three-staff-in-black-uniforms-with-gold-sign.webp,services/male/safarjia/safarjia-3.webp,958,939,958,939,,corner,bl,8.0,85,42.3,65
150,keif-aldiafa-team-three-staff-in-white-shirts-and-beige-aprons.webp,services/male/safarjia/safarjia-5.webp,958,788,958,788,,corner,tr,7.4,87,42.1,113
151,keif-aldiafa-team-three-waitstaff-in-banquet-hall.webp,services/safarjia/safarji-4.webp,720,987,720,987,,corner,tr,9.6,88,42.2,84
152,keif-aldiafa-team-three-waitstaff-in-black-aprons.webp,services/safarjia/safarji-1.webp,571,800,571,800,,corner,tr,9.6,82,42.1,30
153,keif-aldiafa-team-three-waitstaff-standing-in-banquet-hall.webp,services/male/safarjia/safarjia-4.webp,548,592,548,592,,corner,br,9.1,86,42.0,29
154,keif-aldiafa-team-three-women-white-dresses-in-mirror.webp,services/female/hostesses/hostess-2.webp,816,1296,816,1296,,corner,bl,10.3,70,42.0,35
155,keif-aldiafa-team-two-servers-holding-brass-pots-indoor.webp,services/male/hosts/makkawi/makkawi-1.webp,1280,720,1280,720,,corner,br,6.1,89,42.7,117
156,keif-aldiafa-team-two-servers-holding-dallah-coffee-pots.webp,services/male/hosts/makkawi/makkawi-2.webp,1280,720,1280,720,,corner,br,6.1,89,42.3,127
157,keif-aldiafa-team-two-servers-serving-desserts-and-arabic-coffee.webp,services/female-services/female-2.webp,1014,1382,1014,1382,,corner,br,9.6,83,42.3,97
158,keif-aldiafa-team-two-staff-masked-lobby.webp,services/female-services/female-1.webp,1014,1382,1014,1382,,corner,bl,9.6,77,42.1,54
159,keif-aldiafa-team-two-women-red-uniforms-lobby.webp,services/female-services/female-4.webp,896,1200,896,1200,,corner,tr,9.5,88,42.0,96
160,keif-aldiafa-team-uniformed-staff-portrait.webp,services/female-services/female-5.webp,1014,1382,1014,1382,,corner,br,9.6,68,42.3,41
161,keif-aldiafa-team-woman-niqab-holding-green-cutout.webp,services/artistic/artist/artist-3.webp,828,758,828,758,,corner,br,7.7,71,42.1,19
162,keif-aldiafa-three-qahwajiin-black-daglah-wedding-reception-cb-monogram-balloons.webp,weddings/luxury-wedding-decoration-male-hosts-traditional-uniform.webp,720,1280,720,1280,,corner,bl,10.8,90,42.3,176
163,keif-aldiafa-two-hostesses-uniform-serving-arabic-coffee-and-pastries-majlis.webp,services/female-services/female-main-bg.webp,896,1200,896,1200,,corner,tr,9.5,88,40.9,237
164,keif-aldiafa-two-qahwajiin-black-daglah-dates-tray-and-dallah-corridor.webp,services/male/hosts/dagla/dagla-2.webp,476,846,476,846,,corner,tr,10.9,80,42.8,50
165,keif-aldiafa-two-sababin-white-thobe-crossed-belt-tea-coffee-bar-wedding-hall.webp,services/male/hosts/hizam/hizam-2.webp,1280,720,1200,675,,corner,br,6.1,82,35.8,212
166,keif-aldiafa-equipment-brass-dallah-coffee-pots-and-cups-display.webp,services/male/souqiya/souqiya-7.webp,280,307,280,307,,corner,tl,12.1,94,41.8,21
167,keif-aldiafa-equipment-clear-glass-cup-and-saucer-product-display.webp,serving-equipment/glass-tea-cup.webp,1080,1080,1080,1080,,none (brand already in image),,,68,44.5,29
168,keif-aldiafa-equipment-clear-glass-cup-gold-stripes.webp,serving-equipment/coffee-glass.webp,1080,1080,1080,1080,,none (brand already in image),,,73,43.4,29
169,keif-aldiafa-equipment-clear-glass-cup-with-gold-stripes-and-logo.webp,equipment/saudi-luxury-ornate-tea-glass-golden-silver-hospitality.webp,1000,1000,1000,1000,,none (brand already in image),,,77,42.6,47
170,keif-aldiafa-equipment-clear-ribbed-glass-cup-and-saucer.webp,equipment/saudi-traditional-ribbed-glass-tea-cup-set.webp,1000,1000,1000,1000,,none (brand already in image),,,68,42.6,25
171,keif-aldiafa-equipment-clear-stem-glass-on-branded-white-background.webp,equipment/saudi-golden-striped-tea-cup-saucer-hospitality.webp,1080,1080,1080,1080,,none (brand already in image),,,72,42.2,28
172,keif-aldiafa-equipment-clear-stemmed-wine-glass-on-branded-background.webp,serving-equipment/glass-cup.webp,1080,1080,1080,1080,,none (brand already in image),,,68,44.5,25
173,keif-aldiafa-equipment-clear-stemmed-wine-glass-with-brand-logo.webp,equipment/saudi-silver-dallah-serveware-luxury-hospitality.webp,1000,1000,1000,1000,,none (brand already in image),,,68,43.0,18
174,keif-aldiafa-equipment-decorative-glass-teacup-and-saucer.webp,equipment/arabic-coffee-gahwa-ornate-glass-cup-set-equipment.webp,1000,1000,1000,1000,,none (brand already in image),,,76,42.4,55
175,keif-aldiafa-equipment-decorative-gold-pattern-glass-cups-saucer.webp,equipment/traditional-saudi-clear-glass-qahwa-cup.webp,1080,1080,1080,1080,,none (brand already in image),,,76,42.1,54
176,keif-aldiafa-equipment-glass-cup-gold-stripes-saucer-logo.webp,equipment/royal-golden-dallah-coffee-pot-saudi-hospitality.webp,1000,1000,1000,1000,,none (brand already in image),,,69,42.1,24
177,keif-aldiafa-equipment-glass-cup-with-gold-vertical-stripes-on-saucer.webp,serving-equipment/coffee-finjan.webp,1080,1080,1080,1080,,none (brand already in image),,,68,43.3,33
178,keif-aldiafa-equipment-glass-mug-gold-rim-palm-and-crossed-swords.webp,equipment/saudi-arabic-coffee-emblem-handled-mug-golden-hospitality.webp,1080,1080,1080,1080,,none (brand already in image),,,70,42.2,30
179,keif-aldiafa-equipment-glass-mug-with-gold-stripes-on-saucer.webp,equipment/luxury-faceted-tea-cup-transparent-hospitality.webp,1080,1080,1080,1080,,none (brand already in image),,,76,42.3,41
180,keif-aldiafa-equipment-glass-mug-with-palm-and-crossed-swords-emblem.webp,serving-equipment/tea-cup.webp,1080,1080,1080,1080,,none (brand already in image),,,68,44.7,27
181,keif-aldiafa-equipment-glass-tea-sets-with-gold-display-stands.webp,equipment/ksa-luxury-qahwa-golden-glass-cup-stand-majlis.webp,960,1280,960,1280,,corner,bl,9.4,88,42.1,125
182,keif-aldiafa-equipment-glass-teacup-jug-saucer-display.webp,equipment/luxury-clear-ribbed-glass-cup-saucer-hospitality.webp,1080,1080,1080,1080,,none (brand already in image),,,73,42.2,34
183,keif-aldiafa-equipment-glass-tumbler-gold-stripes-branded-background.webp,equipment/saudi-clear-cup-saucer-golden-stripes-hospitality.webp,1080,1080,1080,1080,,none (brand already in image),,,74,42.0,33
184,keif-aldiafa-equipment-gold-and-glass-multi-tier-stand.webp,equipment/jeddah-vip-majlis-golden-arabic-coffee-stand.webp,960,1280,960,1280,,corner,tr,9.4,80,42.1,112
185,keif-aldiafa-equipment-gold-dallah-arabic-coffee-pot.webp,equipment/saudi-luxury-gold-rimmed-emblem-coffee-pot.webp,1080,1080,1080,1080,,none (brand already in image),,,73,42.1,35
186,keif-aldiafa-equipment-gold-dallah-blue-pattern-background-catalog.webp,equipment/saudi-luxury-gold-rimmed-emblem-coffee-pot.webp,1080,1080,1080,1080,,none (brand already in image),,,73,42.1,35
187,keif-aldiafa-equipment-gold-emblem-porcelain-coffee-cups.webp,equipment/saudi-gold-palm-gahwa-cups-set.webp,1080,1080,1080,1080,,none (brand already in image),,,76,42.4,41
188,keif-aldiafa-equipment-gold-glass-multi-tier-serving-stand.webp,equipment/ksa-golden-buffet-tray-glass-cups-hospitality.webp,960,1280,960,1280,,corner,tl,9.4,88,42.7,144
189,keif-aldiafa-equipment-gold-glass-tea-stand-table.webp,equipment/saudi-arabic-coffee-vip-golden-cup-stand-majlis.webp,960,1280,960,1280,,corner,bl,9.4,89,42.1,152
190,keif-aldiafa-equipment-gold-pitchers-tripod-stands-orchid-centerpiece.webp,services/male/souqiya/souqiya-4.webp,960,1280,960,1280,,corner,tl,9.4,88,40.9,208
191,keif-aldiafa-equipment-gold-rimmed-porcelain-cups-on-gold-tray.webp,equipment/saudi-ceremonial-golden-tray-white-cups-hospitality.webp,960,1280,960,1280,,corner,bl,9.4,77,42.1,41
192,keif-aldiafa-equipment-gold-tea-glass-tree-stand-white-table.webp,services/male/souqiya/souqiya-2.webp,1600,900,1600,900,,corner,br,6.1,79,42.1,114
193,keif-aldiafa-equipment-gold-tray-clear-glasses-palm-motif.webp,equipment/riyadh-luxury-arabic-coffee-glass-cup-dessert-table.webp,960,1280,960,1280,,corner,bl,9.4,86,42.0,98
194,keif-aldiafa-equipment-golden-brass-pitchers-set-collection.webp,services/male/souqiya/souqiya-7.webp,280,307,280,307,,corner,tl,12.1,94,41.8,21
195,keif-aldiafa-equipment-golden-dallah-and-cups-display.webp,services/male/souqiya/souqiya-5.webp,960,1280,960,1280,,corner,br,9.4,82,42.3,84
196,keif-aldiafa-equipment-golden-dallah-coffee-pot-on-glass-table.webp,equipment/vip-saudi-golden-dallah-dates-table.webp,678,678,678,678,,corner,tr,8.1,91,42.0,63
197,keif-aldiafa-equipment-golden-dallah-coffee-pot-product-shot.webp,serving-equipment/coffee-dallah.webp,1080,1080,1080,1080,,none (brand already in image),,,73,43.6,31
198,keif-aldiafa-equipment-golden-decorative-vessel-on-marble-table.webp,services/male/souqiya/souqiya-6.webp,960,1280,960,1280,,corner,tl,9.4,86,42.1,80
199,keif-aldiafa-equipment-metal-dallah-coffee-pot-product-display.webp,equipment/saudi-luxury-silver-dallah-arabic-coffee-equipment.webp,1080,1080,1080,1080,,none (brand already in image),,,72,42.3,35
200,keif-aldiafa-equipment-ornate-gold-accent-tea-glass-with-saucer.webp,serving-equipment/white-tea-cup.webp,1080,1080,1080,1080,,none (brand already in image),,,68,43.1,43
201,keif-aldiafa-equipment-ornate-gold-vessel-with-blue-beads.webp,services/sawas/sawas-style-2.webp,1014,1382,1014,1382,,corner,tr,9.6,89,42.1,129
202,keif-aldiafa-equipment-ornate-golden-decorative-vessel-display.webp,services/sawas/sawas-style-4.webp,1014,1382,1014,1382,,corner,tr,9.6,92,42.0,179
203,keif-aldiafa-equipment-ornate-golden-tiered-stand-blue-beads-dallah-cup-tray.webp,services/male/sawas/sawas-5.webp,1802,4000,675,1200,0.45→0.56,corner,tr,10.9,94,41.5,217
204,keif-aldiafa-equipment-ornate-golden-tiered-stand-coins-turquoise-beads-glass-cups.webp,services/male/sawas/sawas-3.webp,786,1600,786,1397,0.49→0.56,corner,tr,10.8,93,42.1,196
205,keif-aldiafa-equipment-silver-arabic-coffee-pot-dallah.webp,serving-equipment/golden-dallah.webp,1080,1080,1080,1080,,none (brand already in image),,,68,44.4,31
206,keif-aldiafa-equipment-silver-dallah-coffee-pot-with-k-logo.webp,equipment/luxury-clear-stemmed-goblet-glass-hospitality.webp,1000,1000,1000,1000,,none (brand already in image),,,68,42.9,25
207,keif-aldiafa-equipment-white-ceramic-cup-on-saucer-with-branded-frame.webp,serving-equipment/coffee-mug.webp,1080,1080,1080,1080,,none (brand already in image),,,68,44.8,23
208,keif-aldiafa-equipment-white-cup-and-saucer-with-brand-frame.webp,equipment/luxury-saudi-white-coffee-cup-saucer.webp,1080,1080,1080,1080,,none (brand already in image),,,68,42.1,25
209,keif-aldiafa-equipment-white-cup-and-saucer-with-k-logo.webp,equipment/saudi-luxury-hospitality-white-porcelain-cup-saucer.webp,1000,1000,1000,1000,,none (brand already in image),,,68,45.0,13
210,keif-aldiafa-equipment-white-emblem-cups-stacked-gold-tray.webp,equipment/saudi-ceremonial-golden-tray-white-cups-hospitality.webp,960,1280,960,1280,,corner,bl,9.4,77,42.1,41
211,keif-aldiafa-equipment-white-gold-porcelain-coffee-cups.webp,serving-equipment/coffee-cups.webp,1080,1080,1080,1080,,none (brand already in image),,,68,43.2,33
212,keif-aldiafa-equipment-white-porcelain-cup-saucer-k-logo-catalog.webp,equipment/saudi-luxury-hospitality-white-porcelain-cup-saucer.webp,1000,1000,1000,1000,,none (brand already in image),,,68,45.0,13
213,keif-aldiafa-offering-assorted-stuffed-dates-on-trays.webp,dates/stuffed-dates.webp,478,823,478,823,,corner,tl,10.7,93,42.1,109
214,keif-aldiafa-offering-baklava-silver-trays-fruit-platters-gold-stands-1.webp,sweets/saudi-traditional-baklava-kunafa-pistachio-fruit-platter.webp,1200,800,1200,800,,corner,bl,6.7,92,42.1,174
215,keif-aldiafa-offering-baklava-silver-trays-fruit-platters-gold-stands-2.webp,sweets/saudi-fruit-platter-baklava-pistachio-dessert.webp,1200,801,1200,801,,corner,bl,6.7,93,42.1,184
216,keif-aldiafa-offering-bedouin-tent-majlis-sadu-cushions-outdoor-turf-stage.webp,services/artistic/heritage-tent/tent-4.webp,1280,720,1280,720,,corner,br,6.1,91,42.4,206
217,keif-aldiafa-offering-brass-coffee-urn-and-cups-table-setup.webp,services/male/souqiya/souqiya-2.webp,1600,900,1600,900,,corner,br,6.1,79,42.1,114
218,keif-aldiafa-offering-buffet-dessert-display-glasses-cakes.webp,sweets/saudi-luxury-dessert-buffet-mini-cakes-shooters.webp,1200,540,960,540,2.22→1.78,corner,tr,6.1,94,42.3,173
219,keif-aldiafa-offering-caramel-pistachio-sweets-platter.webp,dates/stuffed-dates-3.webp,835,1000,835,1000,,corner,br,8.9,87,42.2,90
220,keif-aldiafa-offering-corporate-buffet-tiered-wooden-stands-mini-pastries-flowers.webp,services/artistic/buffet/buffet-2.webp,1200,1600,900,1200,,corner,tl,9.4,89,40.0,228
221,keif-aldiafa-offering-date-palm-food-display.webp,dates/palm-khalas-stuffed.webp,666,1000,666,1000,,corner,br,9.9,85,42.5,57
222,keif-aldiafa-offering-date-trunk-palm-food-display.webp,distributions/saudi-luxury-palm-date-sweets-distribution.webp,666,1000,666,1000,,corner,br,9.9,79,43.3,56
223,keif-aldiafa-offering-dates-sweets-woven-trays-golden-incense-burner-dallah.webp,equipment/royal-saudi-gold-qahwa-dates-service.webp,960,1280,960,1280,,corner,bl,9.4,90,40.4,213
224,keif-aldiafa-offering-decorative-palm-sweets-tray-arrangement.webp,dates/palm-sukari-stuffed.webp,1280,1280,1280,1280,,corner,br,8.1,83,42.8,108
225,keif-aldiafa-offering-dessert-appetizer-buffet-creme-caramel-petit-fours-fruit-skewers.webp,sweets/saudi-elegant-dessert-buffet-panna-cotta-shooters.webp,1200,675,1200,675,,corner,tl,6.1,90,42.0,170
226,keif-aldiafa-offering-dessert-buffet-parfait-glasses-cake-slices-oriental-sweets.webp,sweets/saudi-luxury-dessert-buffet-chocolate-mousse-basbousa.webp,1200,540,960,540,2.22→1.78,corner,tr,6.1,94,42.2,187
227,keif-aldiafa-offering-dessert-buffet-table-with-chalkboard.webp,sweets/saudi-luxury-dessert-station-fresh-fruit-mix.webp,1200,2793,900,1600,0.43→0.56,corner,br,10.9,88,40.7,221
228,keif-aldiafa-offering-dessert-buffet-table-with-cups-and-pastries.webp,sweets/saudi-luxury-dessert-station-fruit-mousse-cups.webp,1200,900,1200,900,,corner,br,7.1,85,42.4,117
229,keif-aldiafa-offering-dessert-buffet-table-with-varied-pastries.webp,sweets/saudi-elegant-dessert-station-mango-panna-cotta-red-velvet.webp,1165,960,1165,960,,corner,br,7.4,90,42.3,149
230,keif-aldiafa-offering-fatayer-manakish-sesame-croissants-platter.webp,pastry/arabic-pastry.webp,720,900,720,900,,corner,tl,9.2,94,42.0,170
231,keif-aldiafa-offering-glass-buffet-black-platters-canapes-croissants-top-view.webp,services/artistic/buffet/buffet-3.webp,899,1599,899,1599,,corner,tr,10.9,90,42.4,229
232,keif-aldiafa-offering-glass-tea-on-decorative-tray.webp,equipment/jeddah-luxury-ornate-tea-cup-saucer.webp,1080,837,1080,837,,corner,br,7.1,93,42.2,125
233,keif-aldiafa-offering-gold-accented-tea-glass-and-flower-on-ornate-tray.webp,equipment/saudi-vip-hospitality-golden-coffee-cup-stand-event.webp,960,1280,960,1280,,corner,tl,9.4,78,42.3,59
234,keif-aldiafa-offering-gold-platter-assorted-pistachio-baklava.webp,sweets/baklava.webp,720,720,720,720,,corner,br,8.2,94,42.1,129
235,keif-aldiafa-offering-gold-tiered-stands-mini-pizzas-savory-bites-banquet.webp,services/artistic/buffet/buffet-1.webp,1200,1600,900,1200,,corner,br,9.4,86,38.4,227
236,keif-aldiafa-offering-gold-white-wrapped-chocolates-platter.webp,sweets/patchi-chocolate.webp,600,600,600,600,,corner,br,8.3,71,42.3,17
237,keif-aldiafa-offering-golden-dallah-dates-finjan-glass-table-bokeh.webp,equipment/saudi-hospitality-glass-tea-set-equipment.webp,4160,2777,1600,1068,,corner,tl,6.7,89,42.0,124
238,keif-aldiafa-offering-golden-hospitality-counter-rooftop-night-string-lights.webp,services/artistic/counter/counter-1.webp,1200,1600,900,1200,,corner,tr,9.4,82,36.6,215
239,keif-aldiafa-offering-golden-tray-decorated-dates.webp,dates/khalas-stuffed.webp,1000,1000,1000,1000,,corner,br,8.2,85,42.3,68
240,keif-aldiafa-offering-mini-sadu-tent-station-dallahs-clay-jar-incense-indoor.webp,services/artistic/heritage-tent/tent-2.webp,1280,960,1280,960,,corner,br,7.0,89,42.0,217
241,keif-aldiafa-offering-ornate-gold-coffee-service-with-flowers.webp,services/male/souqiya/souqiya-8.webp,280,316,280,316,,corner,tl,12.1,94,40.5,41
242,keif-aldiafa-offering-oval-tray-dates-with-pistachios-and-coconut.webp,dates/stuffed-dates-5.webp,1092,1280,1092,1280,,corner,br,8.8,83,42.2,77
243,keif-aldiafa-offering-pyramid-of-dates-with-palm-leaves.webp,dates/palm-sukari.webp,1108,1448,1108,1448,,corner,br,9.3,68,42.6,89
244,keif-aldiafa-offering-sadu-glass-buffet-booth-guests-self-serve-qahwaji.webp,services/artistic/heritage-tent/tent-3.webp,1280,960,1280,960,,corner,bl,7.0,86,40.0,237
245,keif-aldiafa-offering-small-sandwich-on-white-plate.webp,sandwiches/saudi-catering-turkey-cheese-tomato-long-sandwich.webp,1200,1600,1200,1600,,corner,tr,9.4,72,42.1,43
246,keif-aldiafa-offering-square-arranged-clustered-box.webp,dates/stuffed-dates-2.webp,500,500,500,500,,corner,br,10.0,86,42.3,21
247,keif-aldiafa-offering-stuffed-dates-platter-pistachio-sesame-chocolate.webp,dates/sukari-stuffed.webp,900,778,900,778,,corner,bl,7.6,93,42.3,185
248,keif-aldiafa-offering-table-with-arabic-coffee-and-sweets.webp,distributions/riyadh-luxury-hospitality-gift-tray-qahwa-ceremony.webp,1280,720,1280,720,,corner,bl,6.1,93,42.4,161
249,keif-aldiafa-offering-three-glasses-dark-beverage.webp,cold-drinks/arak-sous.webp,1200,1600,1200,1600,,corner,tr,9.4,79,42.2,96
250,keif-aldiafa-offering-three-mini-cheeseburgers-on-slate.webp,snacks/saudi-mini-beef-sliders-cheese-luxury-catering.webp,1100,1100,1100,1100,,corner,tr,8.2,87,42.3,98
251,keif-aldiafa-offering-three-trays-dates-filled-with-nuts.webp,distributions/ksa-dates-arabic-sweets-gahwa-distribution.webp,478,823,478,823,,corner,tl,10.7,94,41.9,126
252,keif-aldiafa-offering-traditional-sweets-dates-nuts-buffet-villa-courtyard.webp,services/artistic/heritage-tent/tent-1.webp,960,1280,900,1200,,corner,bl,9.4,86,38.0,237
253,keif-aldiafa-offering-tray-fried-triangular-pastries.webp,pastry/samosa.webp,736,736,736,736,,corner,bl,8.2,91,42.2,71
254,keif-aldiafa-offering-tray-of-sahlab-drinks-with-golden-glasses.webp,hot-drinks/sahlab.webp,807,632,807,632,,corner,tl,7.2,90,42.1,87
255,keif-aldiafa-offering-tray-with-four-cappuccinos.webp,hot-drinks/cappuccino.webp,1200,1229,1200,1229,,corner,tr,8.2,87,42.8,149
256,keif-aldiafa-offering-tuna-salad-sesame-roll-on-white-plate.webp,sandwiches/saudi-catering-tuna-salad-sandwich-long-roll.webp,1200,1600,1200,1600,,corner,tr,9.4,76,42.2,53
257,keif-aldiafa-offering-white-birthday-cake-with-red-hearts.webp,sweets/pancake.webp,736,752,736,752,,corner,br,8.3,83,42.1,38
258,keif-aldiafa-service-erksous-carrier-red-carpet-outdoor-night-4.webp,services/male/sawas/sawas-2.webp,900,1600,675,1200,,corner,tr,10.9,86,37.5,222
259,keif-aldiafa-service-erksous-juice-carrier-fez-heritage-street.webp,services/male/sawas/sawas-4.webp,1026,1600,1026,1600,,corner,tl,10.2,88,42.4,197
260,keif-aldiafa-service-erksous-juice-carrier-levantine-costume-night-2.webp,services/male/sawas/sawas-1.webp,900,1600,675,1200,,corner,tl,10.9,82,35.2,219
261,keif-aldiafa-service-erksous-juice-carrier-pouring-cup-night-3.webp,services/sawas/sawas-main.webp,853,1280,853,1280,,corner,tr,10.0,90,40.9,194
262,keif-aldiafa-service-erksous-tamarind-juice-carrier-levantine-costume-night-1.webp,services/male/sawas/sawas-2.webp,900,1600,675,1200,,corner,tr,10.9,86,37.5,222
263,keif-aldiafa-service-folk-drummers-performance-red-carpet-night.webp,services/artistic/folkband/folkband-1.webp,1280,960,1200,900,,corner,tl,7.0,82,36.4,236
264,keif-aldiafa-service-hand-henna-artist-applying-design.webp,services/artistic/artist/artist-6.webp,828,817,828,817,,corner,br,8.1,88,42.2,77
265,keif-aldiafa-service-hand-lifting-decorative-arabic-coffee-cup.webp,services/artistic/artist/artist-2.webp,828,1073,828,1073,,corner,tr,9.3,81,42.0,45
266,keif-aldiafa-service-hands-drawing-on-cutout-shapes.webp,services/artistic/artist/artist-4.webp,828,748,828,748,,corner,tl,7.7,80,42.5,52
267,keif-aldiafa-service-henna-artist-station-outdoor-tent-night-1.webp,services/artistic/artist/artist-8.webp,960,1280,900,1200,,corner,tl,9.4,78,35.0,223
268,keif-aldiafa-service-henna-artist-station-outdoor-tent-night-2-closeup.webp,services/artistic/artist/artist-9.webp,960,1280,960,1280,,corner,tr,9.4,89,42.0,199
269,keif-aldiafa-service-heritage-tent-sadu-majlis-indoor-hall-1.webp,services/artistic/heritage-tent/tent-2.webp,1280,960,1280,960,,corner,br,7.0,89,42.0,217
270,keif-aldiafa-service-heritage-tent-sadu-majlis-outdoor-turf-2.webp,services/artistic/heritage-tent/tent-4.webp,1280,720,1280,720,,corner,br,6.1,91,42.4,206
271,keif-aldiafa-service-man-serving-traditional-cups-with-golden-stand.webp,services/sawas/sawas-style-1.webp,1014,1382,1014,1382,,corner,tl,9.6,89,42.1,172
272,keif-aldiafa-service-men-using-mirror-photo-booth.webp,services/artistic/photo-booth/photo-booth-4.webp,853,1280,853,1280,,corner,bl,10.0,90,42.3,134
273,keif-aldiafa-service-mirror-photo-booth-red-carpet-corporate-lobby.webp,services/artistic/photo-booth/photo-booth-5.webp,960,1280,960,1280,,corner,br,9.4,90,42.3,207
274,keif-aldiafa-service-saudi-ardah-folk-troupe-drums-flag-night-garden.webp,services/artistic/folkband/folkband-2.webp,900,1600,675,1200,,corner,tl,10.9,86,37.8,209
275,keif-aldiafa-service-street-beverage-vendor-dallah-traditional-fez.webp,services/sawas/sawas-style-3.webp,1014,1382,1014,1382,,corner,tl,9.6,84,42.0,107
276,keif-aldiafa-generic-fruit-parfait-honey-stock.webp,cold-drinks/fresh-juice.webp,1850,2560,1156,1600,,corner,br,9.6,85,42.1,83
277,keif-aldiafa-generic-grapes-closeup-stock.webp,fruits/saudi-red-green-grapes-premium-catering-fruit.webp,1200,1619,890,1200,,corner,br,9.4,90,39.7,206
278,keif-aldiafa-generic-kiwi-slices-closeup-stock.webp,fruits/saudi-fresh-sliced-kiwi-luxury-hospitality-fruit.webp,1200,799,1200,799,,corner,tr,6.7,89,40.7,226
279,keif-aldiafa-generic-mixed-berries-red-bowl-stock.webp,fruits/saudi-mixed-berries-bowl-premium-catering-fruit.webp,1200,1620,889,1200,,corner,tl,9.5,86,37.9,217
280,keif-aldiafa-generic-pineapple-chunks-bowl.webp,fruits/saudi-fresh-pineapple-slices-premium-catering-fruit.webp,1200,1179,1200,1179,,corner,bl,8.1,88,42.8,181
281,keif-aldiafa-generic-social-banner-safraji-waiters-service-design.webp,services/male/safarjia/safarjia-1.webp,1137,417,1137,417,,none (brand already in image),,,79,42.1,32
282,keif-aldiafa-generic-social-banner-zamzam-saqya-service-design.webp,services/male/souqiya/souqiya-1.webp,1290,551,1290,551,,none (brand already in image),,,80,42.6,51
283,keif-aldiafa-generic-stock-assorted-canapes-on-slate-board.webp,snacks/saudi-gourmet-finger-food-assortment-canapes-vip.webp,1100,1100,1100,1100,,corner,br,8.2,93,42.1,206
284,keif-aldiafa-generic-stock-assorted-pastries-plates.webp,pastry/assorted-pastry.webp,736,1103,736,1103,,corner,tl,9.9,94,41.5,173
285,keif-aldiafa-generic-stock-bowl-of-glossy-dates-on-white.webp,dates/dates-plain.webp,600,600,600,600,,corner,br,8.3,85,42.3,30
286,keif-aldiafa-generic-stock-bruschetta-slate-serving-with-olive-oil.webp,snacks/saudi-italian-bruschetta-tomato-basil-luxury-appetizer.webp,1100,1100,1100,1100,,corner,br,8.2,93,42.2,192
287,keif-aldiafa-generic-stock-cheese-sandwich-on-white-plate.webp,sandwiches/saudi-catering-grilled-chicken-sandwich-lettuce-cheese.webp,1200,1600,1200,1600,,corner,tr,9.4,68,42.6,34
288,keif-aldiafa-generic-stock-chocolate-filled-croissants-on-plate.webp,sweets/chocolate-croissant.webp,736,920,736,920,,corner,tr,9.1,94,41.7,139
289,keif-aldiafa-generic-stock-crispy-fried-bites-with-mustard-dip.webp,snacks/saudi-crispy-chicken-popcorn-bites-honey-mustard.webp,1100,1100,1100,1100,,corner,tr,8.2,90,42.1,151
290,keif-aldiafa-generic-stock-dark-beverage-with-mint-lemon-and-brown-pods.webp,cold-drinks/tamarind.webp,800,1035,800,1035,,corner,br,9.2,90,42.2,78
291,keif-aldiafa-generic-stock-dates-in-silver-dish.webp,dates/dates-assorted.webp,1000,1000,1000,1000,,corner,br,8.2,68,43.4,30
292,keif-aldiafa-generic-stock-fried-cheese-croquettes-with-dipping-sauce.webp,snacks/saudi-golden-potato-cheese-croquettes-luxury-catering.webp,1100,1100,1100,1100,,corner,tr,8.2,89,42.2,168
293,keif-aldiafa-generic-stock-fruit-parfait-trio-glasses.webp,cold-drinks/smoothie.webp,500,500,500,500,,corner,br,10.0,94,42.0,34
